Designator,Mid X,Mid Y,Rotation,Layer
AE1,118.55,-75.66,0.0,top
C1,158.6575,-106.96,0.0,top
C10,147.0925,-93.78,0.0,top
C11,147.1225,-101.18,0.0,top
C12,147.1325,-103.47,0.0,top
C13,124.73,-84.6775,270.0,bottom
C14,119.775,-101.1125,270.0,top
C15,128.085,-95.9025,90.0,top
C16,129.735,-101.63,270.0,top
C17,119.475,-97.7925,180.0,top
C18,126.01,-109.26,270.0,top
C2,162.0275,-106.96,0.0,top
C3,152.0175,-86.675,90.0,bottom
C4,176.59,-101.2275,90.0,bottom
C5,161.62,-91.8775,90.0,bottom
C6,155.1275,-86.705,90.0,bottom
C7,152.01,-105.62,0.0,top
C8,176.66,-92.96,90.0,bottom
C9,147.1,-96.11,0.0,top
CAN,152.805,-118.6575,0.0,top
D1,165.32,-91.19,270.0,bottom
D2,170.13,-105.0425,180.0,top
D3,172.0,-110.44,90.0,top
D4,168.35,-110.48,270.0,top
D5,135.28,-109.24,180.0,top
D6,134.7725,-98.45,180.0,bottom
D7,141.9525,-101.84,180.0,bottom
D8,141.7825,-98.7,180.0,bottom
D9,127.2,-117.58,90.0,top
F1,180.15,-110.7325,270.0,top
F2,175.97,-110.7025,90.0,top
F3,132.29,-116.15,180.0,top
IN-12V1,135.33,-121.24,270.0,bottom
J1,179.96,-104.215,180.0,top
J3,157.86,-112.28,90.0,top
J4,118.55,-85.75,180.0,top
J6,178.01,-77.16,0.0,bottom
L1,120.66,-110.7975,270.0,top
Q1,136.76,-109.44,270.0,bottom
R1,178.24,-92.99,90.0,bottom
R10,152.77,-116.12,180.0,bottom
R11,135.46,-100.51,0.0,bottom
R12,135.45,-102.2,180.0,bottom
R13,129.755,-98.2,270.0,top
R14,129.735,-105.0625,270.0,top
R15,127.775,-104.8425,270.0,top
R16,125.855,-104.8325,90.0,top
R17,125.17,-116.77,270.0,top
R2,167.4425,-86.28,180.0,bottom
R3,167.4125,-82.24,180.0,bottom
R4,163.26,-91.87,270.0,bottom
R5,176.65,-96.3725,270.0,bottom
R6,153.5575,-86.675,90.0,bottom
R7,178.16,-101.21,90.0,bottom
R8,172.34,-103.86,0.0,bottom
R9,177.14,-105.8,90.0,top
RADXA-IO,149.0,-71.0,90.0,top
RS485,167.035,-118.6675,0.0,top
RX,166.63,-84.24,0.0,top
SX1,129.61,-82.62,180.0,top
TX,166.65,-80.24,0.0,top
U1,171.23,-91.065,270.0,top
U2,157.3375,-94.43,0.0,top
U3,173.14,-99.32,180.0,top
U4,151.89,-110.24,180.0,top
U5,140.8925,-96.1,0.0,top
U6,140.8525,-103.48,0.0,top
U7,124.95,-100.17,270.0,top
VIN-12V,141.245,-116.0875,0.0,top
Y1,160.4275,-103.29,180.0,top
